session_id,host_unix_us,timestamp_us,label,esp_label,settling,rssi,num_subcarriers,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59,amp_60,amp_61,amp_62,amp_63,amp_64,amp_65,amp_66,amp_67,amp_68,amp_69,amp_70,amp_71,amp_72,amp_73,amp_74,amp_75,amp_76,amp_77,amp_78,amp_79,amp_80,amp_81,amp_82,amp_83,amp_84,amp_85,amp_86,amp_87,amp_88,amp_89,amp_90,amp_91,amp_92,amp_93,amp_94,amp_95,amp_96,amp_97,amp_98,amp_99,amp_100,amp_101,amp_102,amp_103,amp_104,amp_105,amp_106,amp_107,amp_108,amp_109,amp_110,amp_111,amp_112,amp_113,amp_114,amp_115,amp_116,amp_117,amp_118,amp_119,amp_120,amp_121,amp_122,amp_123,amp_124,amp_125,amp_126,amp_127
20260726_184128_ec02d1,1785087769777106,319511777,2,2,0,-49,128,0,17,17,18,17,17,16,16,16,16,16,16,15,15,15,16,16,15,15,15,15,14,14,13,12,12,11,0,0,0,0,0,0,0,0,0,0,0,7,7,8,8,9,9,9,9,10,11,11,11,12,12,12,13,13,13,14,14,15,15,16,16,16,16,0,34,33,33,32,32,33,31,31,30,29,31,31,29,30,30,29,29,30,29,28,26,25,25,24,24,23,21,21,0,0,0,0,0,0,0,12,12,13,14,13,15,15,17,17,18,20,20,21,21,23,23,23,24,25,25,27,28,29,30,30,31,30,33
20260726_184128_ec02d1,1785087769874131,319611200,2,2,0,-47,128,0,16,16,15,16,15,15,15,15,15,15,15,14,13,14,14,14,14,14,14,13,13,12,12,11,11,10,0,0,0,0,0,0,0,0,0,0,0,7,7,7,8,8,8,9,9,10,10,10,10,12,11,12,12,12,13,14,14,14,15,15,16,16,16,0,64,64,64,62,62,60,60,59,57,59,57,57,55,57,57,56,56,55,55,55,54,51,48,46,45,42,42,41,0,0,0,0,0,0,0,26,28,25,30,31,33,35,34,38,40,42,43,43,45,45,48,47,48,50,53,53,55,58,58,60,59,62,61
20260726_184128_ec02d1,1785087769977281,319711853,2,2,0,-46,128,0,16,16,16,16,16,15,16,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,12,11,11,0,0,0,0,0,0,0,0,0,0,0,8,8,8,9,9,9,9,10,10,11,11,11,12,12,12,13,13,14,14,14,14,15,15,16,16,16,0,61,61,63,60,60,59,58,57,56,56,57,56,57,56,56,57,56,59,56,53,53,51,49,47,46,45,42,42,0,0,0,0,0,0,0,26,28,28,30,33,35,35,38,39,40,42,43,45,44,46,47,48,49,50,51,53,54,56,56,56,60,59,61
20260726_184128_ec02d1,1785087770074811,319812393,2,2,0,-45,128,0,15,15,15,15,15,14,14,14,14,14,15,15,14,15,14,15,14,15,15,14,13,13,13,13,12,11,0,0,0,0,0,0,0,0,0,0,0,9,9,9,10,11,11,12,12,12,13,13,13,13,13,14,13,14,14,14,14,14,14,14,15,15,16,0,59,59,59,59,56,57,56,55,55,57,56,55,55,56,55,56,55,55,54,52,53,50,48,47,45,43,42,40,0,0,0,0,0,0,0,30,32,33,34,36,39,41,43,45,45,48,47,47,48,49,49,49,50,52,52,52,53,57,54,56,57,60,57
20260726_184128_ec02d1,1785087770179207,319912175,2,2,0,-45,128,0,16,16,16,16,16,16,16,16,15,15,16,15,15,15,15,16,15,15,16,15,15,13,13,13,12,13,0,0,0,0,0,0,0,0,0,0,0,10,10,11,12,12,12,13,13,14,14,13,14,14,14,14,14,14,14,15,14,15,16,15,16,16,16,0,57,58,58,58,57,56,57,55,54,56,56,55,55,55,55,55,55,55,56,53,52,50,49,47,44,44,40,40,0,0,0,0,0,0,0,33,35,35,37,38,42,42,44,46,47,47,47,48,50,50,49,49,51,50,51,53,53,55,56,57,56,57,59
20260726_184128_ec02d1,1785087770277260,320012155,2,2,0,-44,128,0,16,15,16,14,14,14,14,14,14,14,13,13,13,14,13,13,13,13,13,13,13,12,11,11,10,10,0,0,0,0,0,0,0,0,0,0,0,9,9,10,10,11,11,11,12,12,13,13,13,13,13,13,13,13,13,14,14,14,15,14,15,15,16,0,62,60,59,60,57,57,55,55,55,56,54,52,52,54,54,53,52,52,52,50,48,47,45,44,41,41,38,37,0,0,0,0,0,0,0,33,34,35,37,40,40,41,44,47,48,50,52,51,51,51,52,51,52,54,55,56,55,58,57,60,60,60,59
20260726_184128_ec02d1,1785087770375651,320112194,2,2,0,-43,128,0,16,16,16,16,15,15,14,14,14,14,14,14,14,14,14,13,13,13,13,13,12,12,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,10,11,11,12,13,13,14,13,14,14,15,15,15,15,15,15,15,15,15,16,15,16,16,16,16,16,0,60,59,57,57,55,56,53,52,52,52,53,50,50,49,50,50,50,50,50,47,47,44,42,42,39,38,38,36,0,0,0,0,0,0,0,33,37,37,39,41,43,47,49,50,52,52,54,54,55,54,54,54,55,55,54,56,57,57,56,58,59,59,57
20260726_184128_ec02d1,1785087770474938,320211286,2,2,0,-43,128,0,16,16,17,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13,12,12,0,0,0,0,0,0,0,0,0,0,0,10,11,12,12,13,13,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,0,59,59,59,57,55,55,54,54,55,55,54,53,54,54,52,53,55,52,52,52,50,48,47,45,45,43,40,39,0,0,0,0,0,0,0,33,36,37,39,41,43,45,45,48,50,51,52,50,52,54,54,54,54,53,56,53,56,56,57,57,57,59,59
20260726_184128_ec02d1,1785087770573839,320311247,2,2,0,-43,128,0,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,13,13,13,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,9,9,10,11,12,12,12,13,13,13,13,13,14,14,14,14,14,14,14,15,14,15,15,15,16,16,0,58,58,57,57,55,56,53,53,53,54,52,51,52,52,52,52,52,51,52,49,49,47,46,44,43,41,39,37,0,0,0,0,0,0,0,31,32,34,35,39,41,42,43,46,47,48,50,49,50,51,51,52,52,52,54,55,55,55,57,57,57,60,58
20260726_184128_ec02d1,1785087770678665,320411087,2,2,0,-43,128,0,16,16,15,15,14,15,15,15,14,14,15,14,14,14,14,14,14,14,14,14,13,13,13,13,11,11,0,0,0,0,0,0,0,0,0,0,0,10,11,12,12,13,13,13,13,14,14,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,16,0,59,57,58,57,56,57,53,54,53,54,53,53,51,53,53,53,52,54,53,52,50,48,46,46,44,42,40,40,0,0,0,0,0,0,0,35,36,38,40,41,43,45,49,50,51,52,53,54,54,53,53,53,54,55,55,55,57,56,58,57,59,59,56
