session_id,host_unix_us,timestamp_us,label,esp_label,settling,rssi,num_subcarriers,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59,amp_60,amp_61,amp_62,amp_63,amp_64,amp_65,amp_66,amp_67,amp_68,amp_69,amp_70,amp_71,amp_72,amp_73,amp_74,amp_75,amp_76,amp_77,amp_78,amp_79,amp_80,amp_81,amp_82,amp_83,amp_84,amp_85,amp_86,amp_87,amp_88,amp_89,amp_90,amp_91,amp_92,amp_93,amp_94,amp_95,amp_96,amp_97,amp_98,amp_99,amp_100,amp_101,amp_102,amp_103,amp_104,amp_105,amp_106,amp_107,amp_108,amp_109,amp_110,amp_111,amp_112,amp_113,amp_114,amp_115,amp_116,amp_117,amp_118,amp_119,amp_120,amp_121,amp_122,amp_123,amp_124,amp_125,amp_126,amp_127
20260726_165845_e1ec34,1785081525663430,824514904,0,0,1,-49,128,0,15,15,15,15,14,15,15,15,15,15,15,16,16,16,17,16,16,16,16,16,16,15,15,14,14,14,0,0,0,0,0,0,0,0,0,0,0,9,9,10,10,10,11,11,11,11,12,11,12,11,12,12,12,12,13,13,13,14,14,14,14,14,15,0,57,57,56,59,58,57,58,58,57,58,60,58,59,60,60,61,61,61,63,61,61,59,59,57,56,55,52,50,0,0,0,0,0,0,0,30,31,34,35,37,37,39,41,42,41,43,45,45,45,45,44,46,47,47,49,50,52,51,54,55,56,55,58
20260726_165845_e1ec34,1785081525755742,824611175,0,0,1,-50,128,0,14,15,15,15,15,14,15,14,15,16,16,16,16,16,16,16,17,17,17,16,16,16,16,15,15,14,0,0,0,0,0,0,0,0,0,0,0,9,10,10,10,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,15,15,15,0,54,57,53,56,51,55,55,55,56,58,58,58,59,57,61,60,62,59,62,61,60,59,57,56,56,53,52,49,0,0,0,0,0,0,0,30,34,35,35,37,40,42,40,42,44,43,44,45,45,44,44,43,46,44,47,48,48,51,51,53,53,52,55
20260726_165845_e1ec34,1785081525856930,824710631,0,0,1,-50,128,0,15,16,15,14,15,15,14,15,15,15,15,15,15,16,16,16,16,16,16,16,16,15,15,14,14,14,0,0,0,0,0,0,0,0,0,0,0,9,10,10,11,11,11,11,12,12,12,12,13,13,13,13,13,13,13,14,14,14,15,14,15,15,15,0,55,55,56,54,56,56,55,55,56,58,57,58,56,61,58,61,61,60,62,60,59,57,56,57,54,54,50,50,0,0,0,0,0,0,0,32,33,36,36,38,39,41,43,44,44,46,43,46,44,46,45,45,48,48,48,50,51,53,52,52,54,55,56
20260726_165845_e1ec34,1785081525958387,824811082,0,0,1,-51,128,0,14,14,14,15,15,15,15,15,14,15,15,15,14,15,16,16,16,16,16,15,16,14,14,14,13,13,0,0,0,0,0,0,0,0,0,0,0,9,9,10,10,11,11,11,12,12,12,12,12,12,12,12,12,13,13,14,13,14,14,14,14,14,14,0,52,54,52,52,54,54,53,52,54,56,56,54,55,58,57,54,61,54,57,57,58,57,57,53,52,52,48,50,0,0,0,0,0,0,0,30,30,30,35,36,38,41,41,42,43,43,45,43,45,45,45,44,46,47,46,48,47,50,52,54,52,56,54
20260726_165845_e1ec34,1785081526099307,824956801,0,0,1,-51,128,0,14,14,14,14,14,15,14,14,14,15,15,15,14,15,15,16,16,16,16,16,16,15,15,14,14,14,0,0,0,0,0,0,0,0,0,0,0,9,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,0,55,52,55,54,53,54,53,53,56,56,57,57,55,59,58,60,59,62,60,60,59,60,56,53,54,54,49,50,0,0,0,0,0,0,0,31,32,36,38,37,40,42,44,45,45,47,45,45,45,45,46,46,45,47,46,48,48,49,51,52,50,53,54
20260726_165845_e1ec34,1785081526155695,825010624,0,0,1,-50,128,0,14,15,14,14,15,15,15,14,15,16,16,16,15,16,16,16,16,16,17,16,16,16,16,15,16,14,0,0,0,0,0,0,0,0,0,0,0,9,10,10,10,10,11,11,11,12,12,11,12,11,12,11,12,12,13,13,13,13,13,14,14,15,14,0,58,54,56,53,57,57,56,55,56,59,59,58,58,61,60,62,60,62,62,63,62,59,56,57,57,57,51,53,0,0,0,0,0,0,0,30,31,34,38,37,39,40,42,43,43,44,44,42,43,43,42,46,43,45,43,49,47,46,51,50,52,55,54
20260726_165845_e1ec34,1785081526257006,825112989,0,0,1,-49,128,0,13,13,14,13,13,14,14,14,14,14,14,14,14,15,15,16,16,16,15,15,15,15,14,14,14,13,0,0,0,0,0,0,0,0,0,0,0,9,10,10,10,11,11,12,12,12,12,12,12,11,13,13,12,12,12,13,13,13,14,13,14,13,14,0,51,53,54,52,53,54,52,55,55,54,55,55,54,56,57,57,60,59,61,59,57,58,55,56,53,53,51,49,0,0,0,0,0,0,0,31,34,37,36,39,42,43,44,43,44,46,45,45,45,47,44,45,46,47,49,48,50,51,50,50,53,53,52
20260726_165845_e1ec34,1785081526360023,825215861,0,0,1,-49,128,0,14,14,14,15,14,14,14,14,14,15,15,15,15,15,16,16,16,16,16,16,15,15,15,15,14,14,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,9,9,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,13,13,14,14,14,0,28,27,27,28,27,28,27,27,27,28,29,29,28,30,30,30,30,30,31,30,30,29,29,28,27,26,25,25,0,0,0,0,0,0,0,13,14,14,15,15,17,18,18,18,20,19,20,20,22,21,21,21,22,22,23,22,24,24,25,26,27,27,27
20260726_165845_e1ec34,1785081526455616,825312593,0,0,1,-48,128,0,16,15,15,16,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,15,15,14,14,0,0,0,0,0,0,0,0,0,0,0,9,9,10,10,11,11,11,11,11,12,11,13,13,12,12,13,12,14,13,14,14,14,14,15,15,15,0,54,56,57,55,56,57,55,57,56,56,56,57,56,59,57,60,59,60,61,59,59,57,54,54,53,53,48,49,0,0,0,0,0,0,0,29,32,32,35,35,38,39,41,40,43,44,44,44,43,45,45,47,46,48,45,49,50,52,52,51,54,56,57
20260726_165845_e1ec34,1785081526557684,825411899,0,0,1,-48,128,0,14,15,14,15,14,15,15,14,15,16,15,15,15,15,16,16,16,16,16,16,16,15,15,14,14,13,0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,10,9,10,10,10,10,10,11,11,11,11,12,11,12,12,13,13,14,14,14,14,15,0,27,29,28,27,27,27,27,27,27,28,28,27,28,29,29,29,31,30,29,29,28,28,28,27,26,27,25,26,0,0,0,0,0,0,0,13,14,14,15,15,16,17,18,19,19,19,20,20,20,20,21,21,23,22,23,24,25,25,25,26,27,27,28
20260726_165845_e1ec34,1785081526665202,825517777,0,0,1,-48,128,0,15,15,15,16,15,15,15,15,15,15,15,16,15,16,16,16,16,16,16,16,16,15,15,15,14,14,0,0,0,0,0,0,0,0,0,0,0,9,9,10,10,11,11,12,12,12,12,12,12,12,12,12,13,13,14,13,14,14,14,15,14,15,15,0,57,56,56,58,52,56,56,57,55,57,58,56,54,58,59,59,59,60,59,58,59,57,53,53,53,51,49,48,0,0,0,0,0,0,0,31,32,34,35,37,37,41,41,42,44,44,44,45,45,44,46,45,47,48,49,48,49,50,53,54,54,57,56
20260726_165845_e1ec34,1785081526760847,825615920,0,0,1,-51,128,0,14,14,15,14,15,15,15,16,16,16,16,16,16,17,16,17,17,18,17,16,16,16,16,16,15,15,0,0,0,0,0,0,0,0,0,0,0,9,10,11,11,11,12,11,11,11,11,11,11,11,11,12,12,12,12,12,12,13,13,14,13,13,14,0,54,55,54,54,55,55,55,56,56,58,58,59,61,62,62,64,64,63,65,63,63,65,61,59,59,59,51,51,0,0,0,0,0,0,0,32,34,35,36,38,39,40,41,43,42,42,43,41,41,42,41,42,42,44,45,45,47,49,49,49,51,52,52
20260726_165845_e1ec34,1785081526863485,825717480,0,0,1,-51,128,0,15,15,15,15,15,15,15,15,15,16,16,15,16,16,16,17,16,18,17,18,17,16,16,16,15,15,0,0,0,0,0,0,0,0,0,0,0,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,14,14,14,14,15,0,28,27,28,29,29,28,29,29,29,30,30,30,30,31,31,32,30,34,32,33,34,31,31,28,29,29,28,27,0,0,0,0,0,0,0,15,16,17,18,17,18,18,21,21,21,21,20,21,21,21,22,22,23,24,23,25,24,25,26,26,26,27,28
