session_id,host_unix_us,timestamp_us,label,esp_label,settling,rssi,num_subcarriers,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59,amp_60,amp_61,amp_62,amp_63,amp_64,amp_65,amp_66,amp_67,amp_68,amp_69,amp_70,amp_71,amp_72,amp_73,amp_74,amp_75,amp_76,amp_77,amp_78,amp_79,amp_80,amp_81,amp_82,amp_83,amp_84,amp_85,amp_86,amp_87,amp_88,amp_89,amp_90,amp_91,amp_92,amp_93,amp_94,amp_95,amp_96,amp_97,amp_98,amp_99,amp_100,amp_101,amp_102,amp_103,amp_104,amp_105,amp_106,amp_107,amp_108,amp_109,amp_110,amp_111,amp_112,amp_113,amp_114,amp_115,amp_116,amp_117,amp_118,amp_119,amp_120,amp_121,amp_122,amp_123,amp_124,amp_125,amp_126,amp_127
20260727_142713_ba7d42,1785158833769533,1295011959,0,0,1,-65,128,0,9,8,7,7,6,6,5,5,5,5,5,5,4,4,5,4,4,5,4,5,5,5,6,6,7,7,0,0,0,0,0,0,0,0,0,0,0,25,24,25,24,23,23,22,21,20,19,18,16,15,14,12,11,10,9,9,8,8,8,8,8,8,9,0,16,17,15,15,13,13,11,11,10,10,10,10,8,9,8,9,10,8,10,11,11,11,12,13,12,13,13,14,0,0,0,0,0,0,0,53,52,51,50,50,49,47,45,44,42,42,39,36,34,30,28,25,23,21,19,17,16,16,17,17,17,17,17
20260727_142713_ba7d42,1785158833866681,1295111968,0,0,1,-65,128,0,8,7,6,6,6,5,4,4,4,4,4,3,3,4,4,3,4,4,4,4,5,6,6,6,6,7,0,0,0,0,0,0,0,0,0,0,0,29,29,29,28,27,26,27,26,24,22,21,19,18,17,15,15,12,11,11,10,9,9,9,9,8,8,0,13,12,11,12,11,10,9,8,7,7,7,6,6,6,6,6,7,6,6,7,9,9,10,11,10,11,12,12,0,0,0,0,0,0,0,55,53,52,50,51,50,48,48,46,44,41,40,37,34,31,29,25,23,21,19,18,17,16,16,15,16,14,14
20260727_142713_ba7d42,1785158833970084,1295214613,0,0,1,-65,128,0,7,7,7,6,6,6,5,5,4,3,4,3,3,3,2,2,3,2,2,3,3,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,28,29,29,28,27,26,26,25,24,23,21,20,17,17,14,14,12,11,10,10,9,9,9,9,9,9,0,13,14,13,11,10,9,9,8,8,6,6,5,5,5,4,4,6,4,5,5,6,7,9,9,10,11,11,12,0,0,0,0,0,0,0,56,54,52,52,52,53,50,49,47,46,45,40,39,34,32,30,27,26,23,20,20,18,18,16,16,16,16,16
20260727_142713_ba7d42,1785158834084441,1295327425,0,0,1,-62,128,0,8,7,7,6,6,5,4,3,2,2,2,1,1,1,1,1,2,3,4,5,5,6,7,8,8,8,0,0,0,0,0,0,0,0,0,0,0,37,37,37,35,32,33,31,29,29,30,27,22,20,19,17,17,16,14,12,12,11,9,8,8,9,10,0,13,10,11,9,9,8,7,5,5,4,3,4,2,2,1,2,3,5,6,6,8,8,11,11,13,12,12,14,0,0,0,0,0,0,0,59,60,61,58,53,59,57,54,51,52,43,43,38,35,31,34,26,28,25,20,18,18,16,16,14,17,16,14
20260727_142713_ba7d42,1785158834205547,1295448625,0,0,1,-65,128,0,5,5,4,4,4,2,2,2,1,1,1,0,0,0,1,1,1,2,3,3,3,3,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,26,26,26,25,24,23,23,22,21,20,19,17,16,14,13,12,10,9,8,8,8,7,6,6,6,6,0,11,9,9,9,7,7,6,4,3,3,2,1,2,0,3,3,4,4,6,7,9,11,9,10,11,12,11,12,0,0,0,0,0,0,0,56,55,56,54,52,52,51,48,47,45,44,42,38,35,33,30,27,25,22,20,17,18,14,15,13,12,12,11
20260727_142713_ba7d42,1785158834278409,1295522407,0,0,1,-65,128,0,7,7,6,5,5,4,4,3,3,3,3,2,2,2,2,2,1,3,3,4,4,4,4,6,5,6,0,0,0,0,0,0,0,0,0,0,0,30,30,30,29,29,27,26,26,24,23,22,21,19,17,15,14,13,11,10,9,9,9,7,7,7,7,0,12,11,11,10,9,8,7,6,6,5,4,3,3,3,4,4,4,5,6,7,8,9,9,8,10,11,10,10,0,0,0,0,0,0,0,58,55,56,56,54,54,53,50,50,48,46,43,40,38,35,32,29,26,24,21,19,17,15,16,14,13,13,13
20260727_142713_ba7d42,1785158834369636,1295612004,0,0,1,-65,128,0,5,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,3,4,4,4,5,5,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,29,29,28,27,27,26,26,24,23,22,20,19,17,17,14,14,13,11,10,9,8,8,7,7,6,6,0,11,10,10,9,9,7,6,6,4,4,4,3,4,3,4,4,6,6,7,8,9,9,10,10,11,12,12,12,0,0,0,0,0,0,0,57,56,55,53,53,52,51,49,48,45,44,41,39,36,34,30,27,26,22,20,18,16,15,14,13,12,11,11
20260727_142713_ba7d42,1785158834471306,1295714525,0,0,1,-65,128,0,4,5,4,4,4,2,3,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,29,29,28,28,27,25,25,24,23,21,21,19,18,16,14,13,12,9,9,8,7,7,6,6,5,5,0,10,9,8,8,7,5,5,5,4,4,4,4,4,4,5,5,5,6,7,8,8,9,10,11,11,11,10,11,0,0,0,0,0,0,0,57,55,56,54,52,52,50,49,47,45,44,41,38,35,33,30,27,24,22,19,18,15,14,13,11,11,9,10
20260727_142713_ba7d42,1785158834574006,1295817185,0,0,1,-67,128,0,5,5,5,4,4,4,3,2,1,1,1,1,1,1,0,1,1,1,3,4,4,4,5,5,6,6,0,0,0,0,0,0,0,0,0,0,0,34,33,33,31,31,30,28,27,25,25,22,21,19,17,14,13,12,10,9,7,8,7,5,5,6,6,0,5,5,5,4,3,3,3,2,1,1,1,1,1,0,1,1,1,2,2,3,4,4,4,4,4,6,5,4,0,0,0,0,0,0,0,32,30,32,30,29,29,28,27,27,25,24,23,21,18,17,15,13,12,11,9,8,7,7,6,5,5,5,5
20260727_142713_ba7d42,1785158834671137,1295917459,0,0,1,-68,128,0,5,5,4,4,4,4,3,3,3,2,2,1,1,1,1,1,1,1,2,2,3,3,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,35,33,33,32,32,30,28,28,26,25,22,20,18,16,14,12,11,9,7,7,5,5,4,5,5,5,0,9,9,9,8,7,7,5,5,4,3,3,2,4,2,2,1,2,3,4,4,6,7,7,8,9,9,9,10,0,0,0,0,0,0,0,65,64,64,62,60,58,56,55,52,49,47,44,41,36,34,29,26,22,20,16,14,13,9,8,8,8,8,8
