session_id,host_unix_us,timestamp_us,label,esp_label,settling,rssi,num_subcarriers,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59,amp_60,amp_61,amp_62,amp_63,amp_64,amp_65,amp_66,amp_67,amp_68,amp_69,amp_70,amp_71,amp_72,amp_73,amp_74,amp_75,amp_76,amp_77,amp_78,amp_79,amp_80,amp_81,amp_82,amp_83,amp_84,amp_85,amp_86,amp_87,amp_88,amp_89,amp_90,amp_91,amp_92,amp_93,amp_94,amp_95,amp_96,amp_97,amp_98,amp_99,amp_100,amp_101,amp_102,amp_103,amp_104,amp_105,amp_106,amp_107,amp_108,amp_109,amp_110,amp_111,amp_112,amp_113,amp_114,amp_115,amp_116,amp_117,amp_118,amp_119,amp_120,amp_121,amp_122,amp_123,amp_124,amp_125,amp_126,amp_127
20260727_142713_ba7d42,1785158906573485,1367812148,2,0,0,-60,128,0,13,14,14,14,13,13,13,13,13,13,14,14,14,13,15,15,16,15,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,7,6,6,7,7,7,8,8,8,9,9,9,10,10,11,11,12,11,11,13,13,12,13,13,13,13,0,54,53,52,53,51,52,53,51,52,54,55,53,56,55,57,59,61,63,64,64,66,65,67,65,65,64,63,63,0,0,0,0,0,0,0,27,26,27,27,27,28,30,30,34,33,36,37,39,40,41,43,43,47,47,48,49,49,50,51,52,52,52,50
20260727_142713_ba7d42,1785158906669373,1367912186,2,2,0,-60,128,0,14,14,15,15,15,14,15,15,15,15,15,15,15,16,17,17,17,17,17,17,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,7,7,8,8,8,9,9,9,9,11,11,11,12,13,12,13,13,13,14,14,14,14,14,14,14,15,0,55,57,57,55,55,57,55,56,56,55,56,57,57,60,58,63,62,64,66,65,68,69,67,66,67,67,64,66,0,0,0,0,0,0,0,26,28,28,27,28,30,29,33,33,35,38,39,42,41,43,45,47,46,50,49,52,53,54,55,55,54,55,55
20260727_142713_ba7d42,1785158906769209,1368011336,2,2,0,-59,128,0,13,14,13,14,13,14,14,13,13,13,13,13,14,14,15,14,16,15,16,15,17,17,17,16,16,16,0,0,0,0,0,0,0,0,0,0,0,6,6,7,7,7,8,8,8,9,9,10,10,11,11,11,12,12,13,12,13,13,13,14,14,14,14,0,55,54,54,54,54,54,54,54,53,54,55,53,56,56,57,59,60,62,63,63,64,64,64,63,63,63,62,63,0,0,0,0,0,0,0,24,23,23,25,26,28,29,30,33,33,35,38,38,40,42,43,44,46,47,49,51,51,51,53,54,55,54,55
20260727_142713_ba7d42,1785158906869295,1368113099,2,2,0,-59,128,0,14,13,14,14,14,14,14,13,14,14,14,14,14,14,15,15,15,15,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,6,6,6,7,8,8,8,9,9,9,10,11,11,11,11,12,12,13,12,13,13,13,14,14,14,14,0,28,29,26,28,26,27,26,27,27,29,28,27,28,28,29,29,31,31,32,32,32,32,32,32,32,31,32,31,0,0,0,0,0,0,0,10,11,12,11,13,14,15,15,17,16,18,20,20,21,22,22,22,25,24,25,25,25,27,26,28,28,27,27
20260727_142713_ba7d42,1785158906975057,1368215684,2,2,0,-58,128,0,14,14,14,14,14,14,14,14,14,14,13,14,14,15,15,15,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,6,6,7,7,8,8,8,9,9,10,10,11,11,12,12,12,14,13,13,14,14,14,14,14,14,14,0,29,27,27,27,27,28,25,26,27,27,27,28,28,28,29,30,29,30,31,30,32,31,31,31,32,32,30,30,0,0,0,0,0,0,0,11,11,12,12,13,14,15,16,16,19,19,20,20,22,21,23,23,24,25,24,26,26,26,27,27,28,27,28
20260727_142713_ba7d42,1785158907070815,1368315046,2,2,0,-58,128,0,14,13,15,13,14,14,14,13,13,13,14,14,14,15,14,15,16,16,16,16,17,16,15,16,16,16,0,0,0,0,0,0,0,0,0,0,0,6,7,7,8,7,8,9,9,9,10,10,11,11,11,12,12,13,12,13,13,13,13,13,15,14,14,0,57,56,57,53,54,53,54,53,56,54,54,54,54,58,58,59,60,60,60,62,64,62,62,62,61,61,59,59,0,0,0,0,0,0,0,24,26,24,27,28,30,31,32,34,36,37,40,40,43,45,45,47,48,49,50,53,51,54,54,53,54,57,54
20260727_142713_ba7d42,1785158907171227,1368412732,2,2,0,-57,128,0,15,15,15,15,16,15,15,15,15,15,15,15,15,16,16,16,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,6,7,7,8,8,9,9,9,10,11,11,11,13,13,13,13,13,13,14,14,14,14,14,15,15,15,0,56,56,58,57,56,57,56,54,55,55,57,56,58,59,59,60,63,63,66,65,65,64,65,64,64,63,62,61,0,0,0,0,0,0,0,20,23,24,23,28,29,31,33,33,37,38,40,42,43,45,47,48,49,51,51,53,55,54,56,54,57,58,58
20260727_142713_ba7d42,1785158907271369,1368515101,2,2,0,-56,128,0,16,16,15,16,15,15,15,15,16,15,16,15,15,15,17,16,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,5,5,6,7,7,8,8,8,9,9,10,11,11,11,11,13,13,13,13,14,14,15,15,15,15,16,0,57,58,58,57,55,57,57,57,56,58,57,57,62,60,60,61,62,62,63,65,64,66,66,64,63,63,60,61,0,0,0,0,0,0,0,11,15,16,20,22,23,26,28,30,31,34,36,36,38,40,43,45,46,48,48,50,50,52,55,55,54,57,55
20260727_142713_ba7d42,1785158907376262,1368617552,2,2,0,-56,128,0,15,14,14,14,14,14,15,15,15,14,14,15,15,15,15,16,16,16,16,16,16,17,17,17,17,16,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,6,6,8,8,8,9,9,10,10,10,11,11,12,12,13,13,13,14,14,14,14,14,0,56,58,58,56,58,57,55,55,56,56,58,57,58,60,60,61,63,64,65,66,65,64,63,64,63,63,61,61,0,0,0,0,0,0,0,11,14,16,17,20,24,25,27,28,31,32,35,35,37,39,40,42,43,45,46,49,50,53,54,54,56,58,56
20260727_142713_ba7d42,1785158907475932,1368715459,2,2,0,-56,128,0,14,15,14,14,14,14,14,14,14,14,15,14,14,15,15,15,15,16,16,17,17,17,16,16,16,15,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,6,7,7,8,8,9,9,9,10,10,10,12,12,12,12,13,14,13,14,13,14,14,0,61,57,58,56,57,57,55,56,58,57,58,59,59,61,61,64,63,64,64,66,66,66,64,63,65,63,60,61,0,0,0,0,0,0,0,10,14,17,22,21,24,26,31,29,32,35,34,36,40,39,41,43,46,48,49,49,50,54,54,55,55,56,55
