session_id,host_unix_us,timestamp_us,label,esp_label,settling,rssi,num_subcarriers,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59,amp_60,amp_61,amp_62,amp_63,amp_64,amp_65,amp_66,amp_67,amp_68,amp_69,amp_70,amp_71,amp_72,amp_73,amp_74,amp_75,amp_76,amp_77,amp_78,amp_79,amp_80,amp_81,amp_82,amp_83,amp_84,amp_85,amp_86,amp_87,amp_88,amp_89,amp_90,amp_91,amp_92,amp_93,amp_94,amp_95,amp_96,amp_97,amp_98,amp_99,amp_100,amp_101,amp_102,amp_103,amp_104,amp_105,amp_106,amp_107,amp_108,amp_109,amp_110,amp_111,amp_112,amp_113,amp_114,amp_115,amp_116,amp_117,amp_118,amp_119,amp_120,amp_121,amp_122,amp_123,amp_124,amp_125,amp_126,amp_127
20260804_015555_897cb2,1785804955946594,685615820,0,0,1,-52,128,0,14,14,14,13,12,12,12,11,11,10,10,9,9,9,8,8,8,8,8,7,6,6,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,13,13,13,14,15,15,16,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,15,15,15,0,57,53,54,52,49,48,46,43,43,41,41,38,35,35,33,33,31,31,29,28,25,25,22,21,19,17,16,16,0,0,0,0,0,0,0,46,47,50,52,54,58,59,62,62,64,67,67,67,68,67,68,66,66,66,64,65,65,64,63,62,61,62,60
20260804_015555_897cb2,1785804956045324,685720006,0,0,1,-53,128,0,16,16,16,15,14,14,14,12,12,12,11,10,10,9,10,9,8,9,7,7,7,6,6,6,4,4,0,0,0,0,0,0,0,0,0,0,0,14,15,15,16,16,17,18,19,19,20,20,20,20,19,18,19,19,19,19,19,19,19,18,18,18,17,0,29,28,29,26,25,24,22,22,20,22,19,19,17,16,17,16,15,14,13,12,12,12,11,9,9,7,7,7,0,0,0,0,0,0,0,23,23,25,26,27,28,29,31,32,33,33,34,34,33,33,34,34,34,34,33,33,31,32,32,31,32,31,28
20260804_015555_897cb2,1785804956137334,685812213,0,0,1,-54,128,0,16,16,14,14,13,13,12,12,11,11,10,9,9,8,9,8,8,7,7,7,6,5,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,14,14,15,16,17,17,18,18,18,19,19,19,20,18,18,18,18,18,18,18,18,18,18,18,17,17,0,57,54,51,51,46,45,43,40,40,38,36,35,33,31,31,30,29,26,25,23,22,20,18,15,15,14,10,9,0,0,0,0,0,0,0,46,48,50,51,54,56,59,60,62,65,68,66,68,69,68,67,69,65,65,65,64,64,63,64,62,61,60,60
20260804_015555_897cb2,1785804956241550,685912457,0,0,1,-53,128,0,15,15,15,14,13,12,12,12,11,11,10,10,9,9,9,9,9,8,8,6,6,6,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,14,14,15,15,16,17,17,18,18,18,18,19,19,18,18,18,17,18,18,18,17,18,17,17,17,16,0,28,28,26,27,25,23,22,21,22,21,19,18,17,17,17,15,14,15,13,13,13,11,9,9,7,8,7,7,0,0,0,0,0,0,0,24,24,26,26,28,28,32,30,33,33,34,34,34,35,34,35,34,35,33,34,32,33,33,32,31,31,30,29
20260804_015555_897cb2,1785804956345454,686016465,0,0,1,-53,128,0,14,13,13,13,12,11,11,11,10,10,9,9,9,8,8,8,7,7,7,6,6,5,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,12,13,13,14,15,15,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,15,16,15,15,15,0,28,27,25,25,23,23,22,21,20,19,19,17,17,17,16,15,16,14,13,12,11,10,9,9,8,7,6,6,0,0,0,0,0,0,0,22,23,24,25,27,28,29,29,30,32,34,34,33,33,33,33,33,32,31,32,32,31,31,31,31,31,31,30
20260804_015555_897cb2,1785804956450043,686123964,0,0,1,-53,128,0,15,14,14,14,13,12,11,11,10,10,9,9,9,9,9,8,9,7,6,6,6,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,13,13,14,15,16,16,15,16,17,18,17,17,17,17,18,17,17,17,17,17,16,17,17,16,16,16,0,28,28,25,24,23,22,22,19,20,19,18,18,18,15,14,16,14,14,13,13,12,11,10,10,6,7,7,6,0,0,0,0,0,0,0,21,23,23,25,26,27,28,29,30,31,33,32,31,33,31,33,31,31,30,33,30,31,30,31,30,29,29,28
20260804_015555_897cb2,1785804956547511,686217936,0,0,1,-53,128,0,16,16,15,14,14,13,12,11,12,11,11,10,9,9,9,9,9,8,8,8,6,6,6,6,4,4,0,0,0,0,0,0,0,0,0,0,0,13,13,14,16,16,16,17,17,18,18,19,18,18,18,19,18,19,17,17,18,17,18,17,17,17,16,0,57,56,51,50,45,46,42,42,43,42,39,36,38,32,31,34,33,31,29,26,23,23,20,21,17,13,14,13,0,0,0,0,0,0,0,46,48,47,52,53,54,58,61,63,65,64,67,67,68,67,69,62,65,63,67,63,64,63,65,63,62,60,59
20260804_015555_897cb2,1785804956652030,686321901,0,0,1,-53,128,0,15,14,14,13,13,12,12,11,11,10,10,9,9,9,9,9,9,8,8,7,6,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,12,13,13,14,14,15,16,16,17,17,17,17,17,17,17,17,17,16,17,17,16,16,16,16,16,16,0,28,27,27,26,25,23,23,21,21,20,19,18,18,17,16,16,16,16,14,13,12,11,11,9,9,8,7,6,0,0,0,0,0,0,0,22,22,23,25,25,27,28,29,30,31,32,34,32,33,33,33,32,32,32,32,32,32,32,31,30,31,31,29
20260804_015555_897cb2,1785804956739243,686413060,0,0,1,-53,128,0,15,15,14,14,13,13,12,12,11,11,11,11,11,10,9,9,9,8,8,8,7,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,12,12,14,14,15,14,16,16,16,17,17,17,17,17,17,17,16,16,17,17,17,17,16,16,16,16,0,61,59,58,54,54,52,48,48,45,43,42,42,39,39,36,36,35,34,32,31,29,27,23,23,21,20,18,16,0,0,0,0,0,0,0,43,46,48,48,51,55,57,59,62,63,66,66,65,67,67,68,67,66,67,65,67,67,66,66,64,64,64,62
20260804_015555_897cb2,1785804956843521,686513360,0,0,1,-54,128,0,14,14,13,13,13,12,13,12,11,11,11,10,10,10,9,9,9,8,8,7,7,7,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,12,13,14,14,15,16,16,16,16,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,15,0,28,27,27,25,25,24,23,22,21,21,19,19,19,17,18,17,18,16,16,14,14,13,13,11,10,9,8,8,0,0,0,0,0,0,0,21,22,23,24,26,26,28,30,31,32,32,32,33,33,33,33,32,32,31,31,32,32,30,31,30,31,30,30
