session_id,host_unix_us,timestamp_us,label,esp_label,settling,rssi,num_subcarriers,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59,amp_60,amp_61,amp_62,amp_63,amp_64,amp_65,amp_66,amp_67,amp_68,amp_69,amp_70,amp_71,amp_72,amp_73,amp_74,amp_75,amp_76,amp_77,amp_78,amp_79,amp_80,amp_81,amp_82,amp_83,amp_84,amp_85,amp_86,amp_87,amp_88,amp_89,amp_90,amp_91,amp_92,amp_93,amp_94,amp_95,amp_96,amp_97,amp_98,amp_99,amp_100,amp_101,amp_102,amp_103,amp_104,amp_105,amp_106,amp_107,amp_108,amp_109,amp_110,amp_111,amp_112,amp_113,amp_114,amp_115,amp_116,amp_117,amp_118,amp_119,amp_120,amp_121,amp_122,amp_123,amp_124,amp_125,amp_126,amp_127
20260729_140007_dba60b,1785330007885918,45010345,0,0,1,-51,128,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,15,15,14,14,14,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,12,12,13,13,13,14,0,29,28,29,29,28,28,29,28,28,29,29,29,29,29,30,31,31,31,31,31,31,29,29,28,28,27,25,26,0,0,0,0,0,0,0,13,14,15,15,16,17,17,17,17,18,18,18,19,19,19,19,19,21,21,20,21,22,23,23,24,25,26,27
20260729_140007_dba60b,1785330007983301,45110254,0,0,1,-51,128,0,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,16,16,16,16,15,15,0,0,0,0,0,0,0,0,0,0,0,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,14,14,15,15,15,0,58,60,60,59,60,60,59,59,59,62,61,60,61,63,62,64,64,64,64,63,61,60,58,57,56,55,52,52,0,0,0,0,0,0,0,31,33,33,34,35,35,38,38,37,39,39,40,40,40,40,40,41,41,42,43,46,46,47,49,50,53,54,55
20260729_140007_dba60b,1785330008081974,45210499,0,0,1,-49,128,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,16,16,16,16,15,14,14,14,0,0,0,0,0,0,0,0,0,0,0,7,7,7,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,11,11,11,12,12,14,14,15,0,30,29,29,30,31,30,29,30,30,30,30,30,30,31,31,33,32,31,32,31,30,30,29,28,27,27,25,24,0,0,0,0,0,0,0,12,14,14,14,14,15,14,16,16,17,17,17,17,18,18,18,18,20,20,21,21,21,22,24,25,26,27,27
20260729_140007_dba60b,1785330008186068,45310260,0,0,1,-49,128,0,14,14,16,16,16,14,14,14,14,15,15,15,15,15,16,16,16,16,15,15,15,14,14,14,13,12,0,0,0,0,0,0,0,0,0,0,0,8,8,8,9,9,9,9,10,9,9,9,9,10,9,9,10,10,10,11,11,12,13,13,13,14,14,0,58,59,59,59,62,59,59,60,59,60,58,60,59,61,59,60,62,61,61,59,60,58,56,56,52,52,48,49,0,0,0,0,0,0,0,32,33,31,33,34,36,36,36,36,38,37,37,38,37,38,40,42,39,41,40,44,45,48,47,49,53,55,54
20260729_140007_dba60b,1785330008284011,45411388,0,0,1,-49,128,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,17,17,16,16,16,15,14,14,13,0,0,0,0,0,0,0,0,0,0,0,9,9,8,9,9,10,9,10,10,9,10,10,10,10,11,11,12,12,13,13,13,14,14,15,15,16,0,30,29,31,31,30,30,29,29,30,30,30,29,30,31,31,32,31,31,31,31,31,30,28,27,27,26,25,24,0,0,0,0,0,0,0,14,15,16,16,15,15,17,19,19,19,19,19,20,20,19,20,20,22,22,22,23,23,23,25,26,27,28,30
20260729_140007_dba60b,1785330008383043,45511774,0,0,1,-51,128,0,16,16,16,16,16,16,16,16,16,16,17,16,16,17,17,17,17,18,18,16,17,16,16,15,15,15,0,0,0,0,0,0,0,0,0,0,0,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,12,12,12,13,15,15,0,28,30,31,30,31,31,30,31,30,33,32,31,32,32,33,34,33,34,34,32,32,32,32,30,31,29,28,27,0,0,0,0,0,0,0,15,16,15,16,17,17,18,18,16,19,17,19,17,18,19,19,19,20,19,20,22,22,23,24,24,26,27,28
20260729_140007_dba60b,1785330008486573,45611808,0,0,1,-51,128,0,15,15,15,16,15,15,15,15,16,16,16,16,16,17,17,17,17,17,16,17,16,16,15,15,14,13,0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,12,12,13,13,14,15,0,61,59,61,61,60,61,61,60,61,62,63,61,63,64,65,65,65,66,65,64,63,61,59,57,57,54,52,51,0,0,0,0,0,0,0,29,30,32,33,33,34,34,36,36,37,38,37,38,38,38,37,40,39,40,41,44,45,46,49,51,52,55,56
20260729_140007_dba60b,1785330008586876,45711222,0,0,1,-51,128,0,15,15,15,16,16,16,16,16,16,16,16,16,16,16,17,17,18,18,17,17,17,17,16,15,15,15,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,7,6,8,8,8,8,8,9,9,10,10,11,12,12,13,14,14,0,58,61,61,62,61,62,60,62,62,63,63,63,63,65,66,67,67,66,67,68,62,62,61,60,60,55,55,52,0,0,0,0,0,0,0,22,23,23,23,24,24,24,25,25,25,26,29,27,28,31,30,32,34,35,37,39,41,44,46,48,51,55,56
20260729_140007_dba60b,1785330008692166,45816249,0,0,1,-52,128,0,16,16,16,15,16,16,15,15,16,16,16,16,16,16,16,17,16,17,17,17,16,16,15,14,14,14,0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,12,13,13,13,14,14,14,14,0,61,60,61,61,61,62,60,60,59,61,62,61,61,62,63,65,64,63,64,62,62,61,57,56,54,53,51,50,0,0,0,0,0,0,0,25,27,27,29,30,31,33,33,35,36,37,37,39,40,39,42,41,42,43,45,46,46,49,51,53,54,57,57
20260729_140007_dba60b,1785330008830397,45957860,0,0,1,-53,128,0,16,15,16,16,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,15,15,15,15,14,14,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,5,6,6,7,7,8,9,9,9,10,10,11,11,11,12,12,13,13,14,14,15,15,0,31,31,31,31,31,31,30,30,30,30,31,29,30,31,30,32,32,33,32,32,30,30,28,28,27,27,26,25,0,0,0,0,0,0,0,5,6,6,7,9,9,11,12,14,15,16,16,18,18,19,20,20,22,22,23,24,25,25,26,27,29,30,30
